date,hits,keyword,geo,time,gprop,category
2022-11-06T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-11-13T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-11-20T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-11-27T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-12-04T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-12-11T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-12-18T00:00:00Z,2,Harris,US,today+5-y,web,0
2022-12-25T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-01-01T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-01-08T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-01-15T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-01-22T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-01-29T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-02-05T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-02-12T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-02-19T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-02-26T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-03-05T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-03-12T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-03-19T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-03-26T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-04-02T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-04-09T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-04-16T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-04-23T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-04-30T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-05-07T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-05-14T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-05-21T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-05-28T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-06-04T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-06-11T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-06-18T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-06-25T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-07-02T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-07-09T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-07-16T00:00:00Z,1,Harris,US,today+5-y,web,0
2023-07-23T00:00:00Z,1,Harris,US,today+5-y,web,0
